item,item_count,iterations_count,time_in_nanoseconds
660495,317,9,2337
39624,318,13,3631
642626,319,10,3321
136674,320,13,3830
167860,321,11,3800
533108,322,11,3827
905791,323,9,2533
305448,324,11,4123
233482,325,12,3597
628275,326,9,2527
999037,327,8,2486
381027,328,10,2709
960197,329,9,2480
977653,330,12,3745
874437,331,9,2084
846565,332,13,3537
215869,333,9,4138
276309,334,10,3320
866429,335,14,4133
946543,336,9,2119
102277,337,9,2357
341355,338,12,3402
738768,339,11,3062
828052,340,13,4203
312620,341,11,2688
991486,342,9,2154
621369,343,8,2547
850109,344,9,1891
15568,345,8,2366
837526,346,10,2160
584881,347,11,3861
164869,348,11,3687
498522,349,13,5120
985392,350,9,2412
880307,351,12,3760
360836,352,15,5348
638233,353,12,4002
30987,354,9,3062
62376,355,12,3262
272810,356,11,3120
829118,357,10,2520
115296,358,8,2556
382901,359,12,4496
479233,360,12,4210
955826,361,9,2558
660014,362,11,3704
785629,363,12,4103
915092,364,12,3472
998160,365,12,3594
793779,366,11,4037
47059,367,10,3009
399982,368,11,3522
640130,369,9,3158
685559,370,10,3385
82976,371,9,2613
231227,372,10,2619
744315,373,11,2953
407937,374,12,5106
673645,375,11,4430
274700,376,12,3524
996302,377,12,7374
549357,378,10,3693
870958,379,12,3494
214070,380,11,2765
664170,381,12,4523
230806,382,12,5369
195307,383,9,8313
349081,384,10,3223
367667,385,11,9005
415597,386,9,2556
548844,387,10,2740
623102,388,13,3528
586045,389,12,2997
337579,390,10,1884
727425,391,9,2627
832346,392,10,2279
661863,393,11,3980
46883,394,12,4097
341995,395,13,3999
142704,396,10,2671
202066,397,11,3060
60080,398,9,2586
507883,399,14,4359
934226,400,11,3028
575997,401,9,2216
597390,402,11,3163
209508,403,10,2320
497863,404,11,3276
629502,405,10,2494
103941,406,10,3201
784367,407,13,4132
100616,408,9,2533
308959,409,11,3276
78528,410,9,2516
958907,411,11,21333
699941,412,10,3280
818387,413,16,4332
887804,414,13,3429
40031,415,12,4221
679429,416,11,3498
329684,417,10,2447
298524,418,10,2384
727998,419,12,4228
170890,420,11,3432
202906,421,12,3583
112857,422,9,2549
12438,423,10,3260
738195,424,10,2654
807609,425,11,3929
316566,426,9,2305
57445,427,9,2256
907163,428,12,4001
688408,429,12,3991
419793,430,11,3779
476152,431,13,6055
751422,432,11,2927
507913,433,12,3913
330422,434,14,4771
295889,435,12,3133
354076,436,9,2219
562698,437,8,2494
977166,438,11,4182
719284,439,9,2898
750422,440,12,3535
465751,441,12,15263
144468,442,12,4357
802894,443,12,3525
419318,444,12,6412
677482,445,10,2811
238632,446,12,4018
604675,447,10,2617
477419,448,12,4148
809745,449,10,3694
461085,450,12,3744
254291,451,11,3013
327153,452,10,2492
118697,453,10,2918
114989,454,9,1787
765991,455,10,3437
377871,456,10,2658
966908,457,11,3280
331276,458,13,6332
614078,459,10,2943
961274,460,11,3401
946677,461,10,2227
607449,462,15,4592
763503,463,12,3225
428311,464,9,2295
723964,465,9,2583
643057,466,10,2974
523162,467,14,4364
772894,468,14,2921
777522,469,13,3462
377886,470,12,4563
325039,471,10,3266
565018,472,12,3531
759882,473,11,2164
633645,474,11,3437
50266,475,11,3711
131597,476,9,2540
35458,477,11,3219
775837,478,14,3363
993802,479,10,2785
281648,480,15,4790
726717,481,12,3062
244211,482,11,4142
236765,483,13,3164
907927,484,12,3043
730303,485,10,1904
874603,486,13,3726
930218,487,11,2836
593395,488,11,3096
380548,489,10,2451
624713,490,9,2379
357482,491,14,3613
837170,492,12,3591
924733,493,10,2417
690317,494,9,2057
125315,495,11,4242
196801,496,13,3334
4520,497,10,2331
812804,498,9,2071
613107,499,10,2198
725041,500,12,3993
358347,501,13,3388
844603,502,10,2123
990037,503,10,2129
890487,504,12,2678
239116,505,11,2030
716687,506,11,2950
905107,507,11,1982
315661,508,11,2699
62000,509,12,2826
901536,510,13,12103
560233,511,15,3961
723895,512,13,4704
871150,513,10,14510
73508,514,11,2722
844177,515,12,3567
458912,516,14,3248
775535,517,13,3572
456215,518,10,2381
905169,519,14,4966
850019,520,12,4110
323685,521,12,6724
731344,522,12,3383
738525,523,12,3879
103909,524,11,3482
168581,525,12,4604
443247,526,12,14474
589802,527,11,3560
557215,528,12,3851
212194,529,12,3450
591219,530,12,2974
645840,531,10,3665
610937,532,12,3505
939304,533,13,4426
92712,534,9,2776
383130,535,13,3790
580242,536,9,2212
29873,537,11,2936
86909,538,10,2449
580270,539,11,6088
527132,540,9,2013
10375,541,9,2118
413300,542,11,3179
177683,543,9,1975
510949,544,10,2030
958775,545,10,2597
795890,546,11,2805
159524,547,11,3324
935984,548,12,3402
590798,549,14,3619
808374,550,10,1976
381648,551,11,1732
968385,552,12,2435
145651,553,13,3628
926246,554,14,2854
952907,555,12,3013
63608,556,14,3535
530400,557,11,2440
962821,558,13,2011
73493,559,11,2215
