item,item_deleted,item_count,iterations_count,time_in_nanoseconds
290132,true,9713,15,2305
157335,true,9712,15,1407
122406,true,9711,15,2188
423071,true,9710,13,1378
697162,true,9709,14,1769
639558,true,9708,14,2170
509211,true,9707,15,1598
921738,true,9706,8,1996
383104,true,9705,14,1644
850791,true,9704,11,1990
992654,true,9703,11,2173
301486,true,9702,12,3213
490337,true,9701,15,1728
94736,true,9700,14,1671
947734,true,9699,12,1740
251529,true,9698,13,2327
33143,true,9697,12,1956
952254,true,9696,13,1465
484870,true,9695,15,1413
390428,true,9694,13,2972
283287,true,9693,13,1918
577190,true,9692,11,2266
952508,true,9691,11,1387
709214,true,9690,14,1928
765905,true,9689,15,2157
142045,true,9688,13,2275
843185,true,9687,12,2200
456589,true,9686,14,2436
361338,true,9685,11,2574
883093,true,9684,12,2166
433029,true,9683,11,2801
341687,true,9682,11,2104
209723,true,9681,14,1629
860974,true,9680,10,1453
749832,true,9679,15,2215
943840,true,9678,12,1869
826357,true,9677,13,1596
228089,true,9676,12,2128
975,true,9675,14,1971
951209,true,9674,12,1827
644772,true,9673,15,2405
142122,true,9672,14,1158
199825,true,9671,15,2743
673426,true,9670,13,1948
79497,true,9669,13,1365
690367,true,9668,9,1745
778814,true,9667,13,1862
751177,true,9666,13,1177
81685,true,9665,13,1846
642543,true,9664,13,1659
335428,true,9663,12,1275
739176,true,9662,15,2134
596540,true,9661,13,1450
97235,true,9660,7,1669
364935,true,9659,13,1773
253447,true,9658,12,1703
180472,true,9657,15,1916
899481,true,9656,13,1755
261576,true,9655,12,1426
95158,true,9654,14,1262
727844,true,9653,13,1756
637719,true,9652,13,1880
613992,true,9651,15,1589
393214,true,9650,13,2382
350859,true,9649,12,1557
723540,true,9648,14,1850
78703,true,9647,12,1297
962460,true,9646,12,2269
328910,true,9645,11,2379
288350,true,9644,11,1808
832586,true,9643,10,2472
47005,true,9642,15,2379
929101,true,9641,12,11499
853265,true,9640,14,7748
876745,true,9639,13,1678
299111,true,9638,14,1410
932442,true,9637,11,4340
240919,true,9636,13,1225
643698,true,9635,14,1649
633807,true,9634,14,1451
572298,true,9633,14,1081
366376,true,9632,11,977
402523,true,9631,11,1543
853379,true,9630,9,1441
962427,true,9629,13,1946
666104,true,9628,12,2590
803641,true,9627,13,1592
664506,true,9626,13,1110
320457,true,9625,12,2215
893861,true,9624,14,1426
542075,true,9623,14,1384
339275,true,9622,14,1525
316590,true,9621,13,1061
673312,true,9620,14,1853
813765,true,9619,2,2108
